Step,Time(s),FR_contact,FL_contact,RR_contact,RL_contact,FR_force(N),FL_force(N),RR_force(N),RL_force(N)
80,1.6,0,0,0,0,0.0,0.0,0.0,0.0
81,1.62,1,0,0,1,125.45379638671875,0.0,0.0,238.86265563964844
82,1.6400000000000001,1,0,0,1,16.448619842529297,0.0,0.0,136.1834716796875
83,1.6600000000000001,1,0,0,1,27.83517074584961,0.0,0.0,77.70470428466797
84,1.68,1,0,0,1,24.512874603271484,0.0,0.0,29.278871536254883
85,1.7,0,0,0,1,0.0,0.0,0.0,21.189769744873047
86,1.72,0,0,0,0,0.0,0.0,0.0,0.0
87,1.74,0,1,0,0,0.0,168.86300659179688,0.0,0.0
88,1.76,1,0,0,0,91.58125305175781,0.0,0.0,0.0
89,1.78,1,0,0,0,90.37608337402344,0.0,0.0,0.0
90,1.8,1,0,0,1,43.10022735595703,0.0,0.0,87.54631042480469
91,1.82,1,0,0,1,14.49893569946289,0.0,0.0,36.90160369873047
92,1.84,0,0,0,1,0.0,0.0,0.0,43.84877395629883
93,1.86,0,0,0,0,0.0,0.0,0.0,0.0
94,1.8800000000000001,1,0,0,0,89.9976806640625,0.0,0.0,0.0
95,1.9000000000000001,1,1,0,0,66.75093841552734,36.393463134765625,0.0,0.0
96,1.92,1,0,0,0,83.73128509521484,0.0,0.0,0.0
97,1.94,1,0,0,0,66.79906463623047,0.0,0.0,0.0
98,1.96,1,0,0,1,3.6719319820404053,0.0,0.0,18.828248977661133
99,1.98,0,0,0,0,0.0,0.0,0.0,0.0
100,2.0,0,0,0,0,0.0,0.0,0.0,0.0
101,2.02,0,0,0,0,0.0,0.0,0.0,0.0
102,2.04,1,0,0,0,103.06575012207031,0.0,0.0,0.0
103,2.06,1,0,0,1,68.67449951171875,0.0,0.0,111.51554870605469
104,2.08,1,0,0,1,59.057090759277344,0.0,0.0,80.67362976074219
105,2.1,0,0,0,1,0.0,0.0,0.0,17.504650115966797
106,2.12,0,0,0,1,0.0,0.0,0.0,48.27295684814453
107,2.14,0,0,0,1,0.0,0.0,0.0,17.102479934692383
108,2.16,0,0,0,0,0.0,0.0,0.0,0.0
109,2.18,0,0,0,0,0.0,0.0,0.0,0.0
110,2.2,1,0,0,0,274.1772155761719,0.0,0.0,0.0
111,2.22,1,0,0,0,77.03172302246094,0.0,0.0,0.0
112,2.24,1,0,0,1,54.58395767211914,0.0,0.0,188.94302368164062
113,2.2600000000000002,1,0,0,1,21.0350399017334,0.0,0.0,28.30057144165039
114,2.2800000000000002,0,0,0,1,0.0,0.0,0.0,24.506389617919922
115,2.3000000000000003,0,0,0,0,0.0,0.0,0.0,0.0
116,2.32,0,0,0,0,0.0,0.0,0.0,0.0
117,2.34,1,1,0,0,130.69219970703125,46.68907928466797,0.0,0.0
118,2.36,1,0,0,0,110.12263488769531,0.0,0.0,0.0
119,2.38,1,0,0,0,77.40424346923828,0.0,0.0,0.0
120,2.4,1,0,0,1,45.98114776611328,0.0,0.0,90.53106689453125
121,2.42,0,0,0,1,0.0,0.0,0.0,19.720029830932617
122,2.44,0,0,0,0,0.0,0.0,0.0,0.0
123,2.46,0,1,0,0,0.0,137.96102905273438,0.0,0.0
124,2.48,1,1,0,0,114.89543914794922,4.183099269866943,0.0,0.0
125,2.5,1,0,0,1,114.45437622070312,0.0,0.0,202.84034729003906
126,2.52,1,0,0,1,22.415191650390625,0.0,0.0,36.61275100708008
127,2.54,1,0,0,1,15.788268089294434,0.0,0.0,71.9401626586914
128,2.56,0,0,0,1,0.0,0.0,0.0,30.92961311340332
129,2.58,0,0,0,1,0.0,0.0,0.0,15.082881927490234
130,2.6,0,0,0,0,0.0,0.0,0.0,0.0
131,2.62,0,0,0,0,0.0,0.0,0.0,0.0
132,2.64,1,0,0,0,161.3616943359375,0.0,0.0,0.0
133,2.66,1,0,0,0,65.44024658203125,0.0,0.0,0.0
134,2.68,1,0,0,1,34.5025749206543,0.0,0.0,57.71429443359375
135,2.7,1,0,0,1,13.119596481323242,0.0,0.0,76.19760131835938
136,2.72,0,0,0,1,0.0,0.0,0.0,54.90666198730469
137,2.74,0,0,0,0,0.0,0.0,0.0,0.0
138,2.7600000000000002,0,1,0,0,0.0,216.15280151367188,0.0,0.0
139,2.7800000000000002,1,1,0,0,264.64447021484375,25.987838745117188,0.0,0.0
140,2.8000000000000003,1,1,0,0,102.0072250366211,25.1972713470459,0.0,0.0
141,2.82,1,0,0,0,124.43861389160156,0.0,0.0,0.0
142,2.84,1,0,0,0,19.690370559692383,0.0,0.0,0.0
143,2.86,0,0,0,1,0.0,0.0,0.0,72.62967681884766
144,2.88,0,0,0,1,0.0,0.0,0.0,29.32571029663086
145,2.9,0,0,0,0,0.0,0.0,0.0,0.0
146,2.92,0,1,0,0,0.0,22.233070373535156,0.0,0.0
147,2.94,1,0,1,1,100.72660827636719,0.0,24.444896697998047,136.8359375
148,2.96,1,0,0,1,43.95545196533203,0.0,0.0,86.31208801269531
149,2.98,1,0,0,1,14.440980911254883,0.0,0.0,54.24045944213867
150,3.0,0,0,0,1,0.0,0.0,0.0,13.926076889038086
151,3.02,0,0,0,0,0.0,0.0,0.0,0.0
152,3.04,0,1,0,0,0.0,53.71742248535156,0.0,0.0
153,3.06,0,0,0,0,0.0,0.0,0.0,0.0
154,3.08,1,0,0,0,108.13388061523438,0.0,0.0,0.0
155,3.1,1,0,0,1,98.95979309082031,0.0,0.0,74.16991424560547
156,3.12,1,0,0,1,6.035111904144287,0.0,0.0,39.573402404785156
157,3.14,0,0,0,1,0.0,0.0,0.0,34.932926177978516
158,3.16,0,0,0,0,0.0,0.0,0.0,0.0
159,3.18,0,0,0,0,0.0,0.0,0.0,0.0
160,3.2,1,1,0,0,84.12006378173828,54.032772064208984,0.0,0.0
161,3.22,1,0,0,0,74.21549224853516,0.0,0.0,0.0
162,3.24,1,0,0,0,101.05409240722656,0.0,0.0,0.0
163,3.2600000000000002,1,0,0,1,4.645462989807129,0.0,0.0,41.292205810546875
164,3.2800000000000002,0,0,0,1,0.0,0.0,0.0,43.33266067504883
165,3.3000000000000003,0,0,0,0,0.0,0.0,0.0,0.0
166,3.3200000000000003,0,0,0,0,0.0,0.0,0.0,0.0
167,3.34,0,1,0,0,0.0,22.73931312561035,0.0,0.0
168,3.36,1,0,0,0,143.00387573242188,0.0,0.0,0.0
169,3.38,1,0,0,1,83.45757293701172,0.0,0.0,114.03530883789062
170,3.4,1,0,0,1,57.24238586425781,0.0,0.0,56.63533020019531
171,3.42,1,0,0,1,8.907176971435547,0.0,0.0,10.869397163391113
172,3.44,0,0,0,1,0.0,0.0,0.0,20.19316864013672
173,3.46,0,0,0,0,0.0,0.0,0.0,0.0
174,3.48,0,0,0,0,0.0,0.0,0.0,0.0
175,3.5,0,0,0,0,0.0,0.0,0.0,0.0
176,3.52,1,0,0,0,146.7745819091797,0.0,0.0,0.0
177,3.54,1,0,0,0,61.43841552734375,0.0,0.0,0.0
178,3.56,1,0,0,1,13.368703842163086,0.0,0.0,99.8962173461914
179,3.58,0,0,0,1,0.0,0.0,0.0,60.53539276123047
180,3.6,0,0,0,1,0.0,0.0,0.0,17.582040786743164
181,3.62,0,1,0,0,0.0,58.5771484375,0.0,0.0
182,3.64,0,1,0,0,0.0,4.771668434143066,0.0,0.0
183,3.66,1,1,0,0,154.36636352539062,13.538790702819824,0.0,0.0
184,3.68,1,0,0,0,107.77889251708984,0.0,0.0,0.0
185,3.7,1,0,0,0,5.955644607543945,0.0,0.0,0.0
186,3.72,1,0,0,1,14.224343299865723,0.0,0.0,123.89875793457031
187,3.74,0,0,0,0,0.0,0.0,0.0,0.0
188,3.7600000000000002,0,0,0,0,0.0,0.0,0.0,0.0
189,3.7800000000000002,0,1,0,0,0.0,35.54081726074219,0.0,0.0
190,3.8000000000000003,1,1,0,0,174.9489288330078,7.8951802253723145,0.0,0.0
191,3.8200000000000003,1,0,0,1,99.46153259277344,0.0,0.0,89.3336410522461
192,3.84,1,0,0,1,15.946765899658203,0.0,0.0,39.5302619934082
193,3.86,1,0,0,1,9.563398361206055,0.0,0.0,21.2686767578125
194,3.88,0,0,0,1,0.0,0.0,0.0,17.86954116821289
195,3.9,0,1,0,0,0.0,154.13223266601562,0.0,0.0
196,3.92,0,1,0,0,0.0,9.57277774810791,0.0,0.0
197,3.94,1,1,0,0,127.3157958984375,2.0891218185424805,0.0,0.0
198,3.96,1,0,0,0,112.25846862792969,0.0,0.0,0.0
199,3.98,1,0,0,1,0.3093264400959015,0.0,0.0,71.20948028564453
200,4.0,0,0,0,1,0.0,0.0,0.0,46.6674690246582
201,4.0200000000000005,0,0,0,0,0.0,0.0,0.0,0.0
202,4.04,0,0,0,0,0.0,0.0,0.0,0.0
203,4.0600000000000005,0,1,0,0,0.0,31.356090545654297,0.0,0.0
204,4.08,1,0,0,0,151.93115234375,0.0,0.0,0.0
205,4.1,1,0,0,1,72.2352294921875,0.0,0.0,116.47908020019531
206,4.12,1,0,0,1,46.95635986328125,0.0,0.0,54.08190155029297
207,4.14,1,0,0,1,9.924111366271973,0.0,0.0,13.501325607299805
208,4.16,0,0,0,0,0.0,0.0,0.0,0.0
209,4.18,0,1,0,0,0.0,235.07595825195312,0.0,0.0
210,4.2,0,1,0,0,0.0,13.694196701049805,0.0,0.0
211,4.22,1,1,0,0,124.27806091308594,2.061818838119507,0.0,0.0
212,4.24,1,0,0,1,93.99256896972656,0.0,0.0,194.31448364257812
213,4.26,1,0,0,1,8.976055145263672,0.0,0.0,18.538005828857422
214,4.28,1,0,0,1,25.47869873046875,0.0,0.0,55.58631896972656
215,4.3,0,0,0,1,0.0,0.0,0.0,23.103918075561523
216,4.32,0,0,0,0,0.0,0.0,0.0,0.0
217,4.34,0,0,0,0,0.0,0.0,0.0,0.0
218,4.36,0,1,0,0,0.0,73.89595031738281,0.0,0.0
219,4.38,1,0,0,0,91.17208099365234,0.0,0.0,0.0
220,4.4,1,0,0,1,43.216773986816406,0.0,0.0,127.84589385986328
221,4.42,1,0,0,1,17.992820739746094,0.0,0.0,77.11956787109375
222,4.44,0,0,0,1,0.0,0.0,0.0,33.41264343261719
223,4.46,0,0,0,0,0.0,0.0,0.0,0.0
224,4.48,0,1,0,0,0.0,227.84938049316406,0.0,0.0
225,4.5,0,1,0,0,0.0,6.8637590408325195,0.0,0.0
226,4.5200000000000005,1,0,0,0,119.80309295654297,0.0,0.0,0.0
227,4.54,1,0,0,0,116.91270446777344,0.0,0.0,0.0
228,4.5600000000000005,1,0,0,0,1.3805382251739502,0.0,0.0,0.0
229,4.58,1,0,0,0,41.69758224487305,0.0,0.0,0.0
230,4.6000000000000005,1,0,0,0,21.506431579589844,0.0,0.0,0.0
231,4.62,1,0,0,1,52.801334381103516,0.0,0.0,99.18754577636719
232,4.64,1,0,0,1,21.657215118408203,0.0,0.0,60.08347702026367
233,4.66,0,0,0,1,0.0,0.0,0.0,17.806838989257812
234,4.68,0,1,0,0,0.0,106.2978744506836,0.0,0.0
