Step,vx (m/s),vy (m/s),vz (m/s),speed_xy (m/s)
0,-0.11311483383178711,-0.0799608826637268,-0.16569627821445465,0.13852331352214722
1,-0.21442550420761108,-0.07212123274803162,-0.2618311643600464,0.22622946109599426
2,-0.153745636343956,0.05636855959892273,0.035992830991744995,0.1637532754056091
3,-0.19828751683235168,0.015670638531446457,0.4177758991718292,0.19890577730051837
4,-0.042052723467350006,-0.042804643511772156,0.20198115706443787,0.06000557521756881
5,-0.01925709843635559,-0.1003601998090744,0.02978035993874073,0.10219102478155714
6,0.18450835347175598,-0.04863371327519417,0.011189315468072891,0.1908102999520525
7,0.45101064443588257,-0.09993933141231537,-0.06348636001348495,0.46195072394965536
8,0.6091415882110596,-0.11215837299823761,-0.04386454448103905,0.6193811226715776
9,0.7603581547737122,-0.13129040598869324,-0.01889961026608944,0.7716098069850851
10,0.8955029845237732,-0.11690482497215271,0.020592715591192245,0.9031015078011745
11,1.013870120048523,-0.08310145884752274,0.05460868403315544,1.017270108078377
12,1.1307642459869385,-0.048488274216651917,0.014774436131119728,1.131803380777297
13,1.1837533712387085,-0.08363444358110428,-0.09843030571937561,1.1867041602994945
14,1.160624384880066,-0.1222541406750679,-0.27712273597717285,1.1670454308596692
15,1.0127326250076294,-0.11300592124462128,-0.368078351020813,1.0190180116127434
16,0.9656502604484558,-0.06913955509662628,-0.43055105209350586,0.968122256527103
17,0.8394100069999695,0.023637983947992325,-0.304165244102478,0.8397427666475099
18,0.7742289304733276,0.032081473618745804,-0.08279071748256683,0.7748933202263542
19,0.7570950984954834,-0.054873932152986526,0.13341449201107025,0.7590811133178168
20,0.6183773279190063,-0.01616661436855793,0.30434688925743103,0.6185886186347046
21,0.5788941383361816,-0.02851889282464981,0.714902937412262,0.5795961961986414
22,0.6269369125366211,-0.16987186670303345,0.204569473862648,0.6495431805493181
23,0.7700682282447815,-0.12682777643203735,0.16108191013336182,0.780442413651867
24,0.8028449416160583,-0.08019517362117767,-0.029278069734573364,0.8068402977979118
25,0.933860719203949,-0.07479748874902725,-0.05621810629963875,0.9368513794595585
26,1.0041440725326538,-0.04132605344057083,-0.03587431460618973,1.0049941099804698
27,1.0225884914398193,0.011030765250325203,-0.04712855815887451,1.0226479846981429
28,1.0731390714645386,0.04036811366677284,-0.07733412832021713,1.0738980637401232
29,1.150503396987915,0.05810846760869026,-0.1683839112520218,1.1519699043328182
30,1.209623098373413,0.02343817986547947,-0.26500529050827026,1.2098501512145636
