Step,vx (m/s),vy (m/s),vz (m/s),speed_xy (m/s)
0,-0.43575212359428406,0.040555182844400406,-0.025949973613023758,0.4376352774542644
1,-0.5308088064193726,0.022042185068130493,-0.2772333323955536,0.5312662674167603
2,-0.04516065493226051,-0.0512794628739357,-0.2825946807861328,0.06833057929324217
3,0.05180086940526962,-0.1514492630958557,0.1858033388853073,0.16006314180166376
4,-0.005363631993532181,-0.12761075794696808,0.007010621950030327,0.12772342812484214
5,0.10108385235071182,-0.149973064661026,-0.16258135437965393,0.1808586888426453
6,0.26282188296318054,-0.011380180716514587,-0.10381920635700226,0.26306814835219466
7,0.4286549687385559,0.05918944627046585,0.049011051654815674,0.43272216579932293
8,0.6276967525482178,0.05510720610618591,0.14662674069404602,0.6301111150617867
9,0.8044147491455078,0.039627037942409515,0.1912854164838791,0.8053902102576859
10,0.9348174333572388,0.03894238546490669,0.17911536991596222,0.935628207726933
11,1.0534998178482056,0.007971342653036118,0.12319383025169373,1.053529975135921
12,1.138161063194275,-0.01660679280757904,0.01739843375980854,1.1382822107627246
13,1.0903762578964233,0.010888616554439068,-0.25383371114730835,1.0904306239989214
14,0.7738269567489624,0.12255952507257462,-0.2867845594882965,0.7834723965637689
15,0.8316587805747986,-0.06367801129817963,-0.18424256145954132,0.8340930502228466
16,0.9855469465255737,0.012261852622032166,-0.3668662905693054,0.9856232225529219
17,0.9746760725975037,-0.003208514302968979,-0.2408573180437088,0.9746813536013329
18,0.8848488330841064,0.03185836225748062,0.13297498226165771,0.8854221663455426
19,0.7981136441230774,0.05913606286048889,0.7018589973449707,0.8003014824839811
20,0.7279223799705505,0.025271013379096985,0.2079009711742401,0.7283609101120111
21,0.8008065223693848,0.053570061922073364,-0.06683982163667679,0.8025963106093141
22,0.900469183921814,0.07875757664442062,-0.20854835212230682,0.9039068022045854
23,0.9555450677871704,0.08841404318809509,-0.18953724205493927,0.959626708468066
24,1.0284909009933472,0.09084928780794144,-0.06904132664203644,1.032495581841064
25,1.084650993347168,0.09644830971956253,-0.006645390763878822,1.0889306928435616
26,1.1350756883621216,0.09076359122991562,0.005703391507267952,1.138698751998831
27,1.2047914266586304,0.09663421660661697,-0.10613518953323364,1.2086606445025472
28,1.1780186891555786,0.1352716088294983,-0.3335174322128296,1.1857598577094557
29,1.042622685432434,0.18045011162757874,-0.37668898701667786,1.0581230112632207
30,1.0106160640716553,0.10446646809577942,-0.17956775426864624,1.0160010196432336
31,1.0620806217193604,0.16279742121696472,-0.1775447577238083,1.0744851080339257
32,0.9611631631851196,0.09729182720184326,0.10439109802246094,0.9660746999607733
33,0.890042781829834,0.04792353883385658,0.29983940720558167,0.8913320475904306
34,0.893122673034668,0.05124553292989731,0.8143519759178162,0.8945916463581916
35,0.880447268486023,0.06955190747976303,0.2648997902870178,0.8831901609611446
36,0.930953860282898,0.07728053629398346,0.004520824179053307,0.93415596731248
37,0.9997108578681946,0.09532042592763901,-0.059947364032268524,1.004244881957876
38,1.0167351961135864,0.09454219788312912,-0.07142697274684906,1.0211212886805885
39,1.0435692071914673,0.08329688757658005,0.026222120970487595,1.046888275642713
40,1.0912578105926514,0.09750960022211075,0.06463664770126343,1.095605645894061
41,1.1257706880569458,0.09769976884126663,0.029763489961624146,1.1300021623518453
42,1.1748428344726562,0.09650219231843948,-0.11251439154148102,1.1787995414123684
43,1.1516646146774292,0.1160220056772232,-0.33302071690559387,1.1574940563568683
44,1.0312753915786743,0.168008953332901,-0.3652418553829193,1.0448712560290694
45,0.9987553358078003,0.0671059712767601,-0.17888739705085754,1.001007208857933
46,1.0648013353347778,0.11233219504356384,-0.2493654042482376,1.0707102342716406
47,0.9602290391921997,0.09039554744958878,0.043489642441272736,0.9644745526485838
48,0.8769845366477966,0.053516559302806854,0.27895379066467285,0.878615899946593
49,0.8637242317199707,0.06254678964614868,0.800251841545105,0.8659859406221866
50,0.85155189037323,0.061919838190078735,0.2381630539894104,0.8538001454437139
51,0.9105505347251892,0.0699966698884964,-0.0186016783118248,0.9132369955733326
52,0.98089599609375,0.08756096661090851,-0.07319553196430206,0.9847963637354611
53,1.00294029712677,0.08511941134929657,-0.07452820986509323,1.0065458528001516
54,1.0456660985946655,0.07857463508844376,0.013671237044036388,1.0486141154063637
55,1.0933278799057007,0.09204749017953873,0.04426884651184082,1.0971957862785686
56,1.1330641508102417,0.09156154841184616,0.011552151292562485,1.136757620163115
57,1.1858949661254883,0.09034145623445511,-0.12552902102470398,1.1893310932605499
58,1.1573352813720703,0.1145361065864563,-0.34184640645980835,1.1629890254084745
59,1.0319089889526367,0.1702546328306198,-0.37427741289138794,1.0458598383538504
60,1.0026443004608154,0.06550796329975128,-0.18677490949630737,1.0047820094439588
61,1.0699843168258667,0.11331865191459656,-0.2539888918399811,1.075968194290639
62,0.9652067422866821,0.08210936188697815,0.06679902970790863,0.9686929351787161
63,0.8770349621772766,0.0608987957239151,0.27243906259536743,0.8791467387199478
64,0.8705741763114929,0.06607972085475922,0.7913520336151123,0.873078419140387
