Step,Time(s),FR_contact,FL_contact,RR_contact,RL_contact,FR_force(N),FL_force(N),RR_force(N),RL_force(N)
0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1,0.02,0,0,0,0,0.0,0.0,0.0,0.0
2,0.04,0,0,0,0,0.0,0.0,0.0,0.0
3,0.06,0,0,0,0,0.0,0.0,0.0,0.0
4,0.08,0,0,0,0,0.0,0.0,0.0,0.0
5,0.1,0,0,0,0,0.0,0.0,0.0,0.0
6,0.12,0,0,0,0,0.0,0.0,0.0,0.0
7,0.14,0,0,0,0,0.0,0.0,0.0,0.0
8,0.16,0,0,0,0,0.0,0.0,0.0,0.0
9,0.18,0,0,0,1,0.0,0.0,0.0,178.4058837890625
10,0.2,0,0,0,1,0.0,0.0,0.0,105.84397888183594
11,0.22,0,0,0,1,0.0,0.0,0.0,73.0688247680664
12,0.24,1,0,0,1,224.79315185546875,0.0,0.0,61.214656829833984
13,0.26,1,1,1,1,111.14028930664062,77.34040832519531,84.20711517333984,49.22681427001953
14,0.28,1,1,1,1,50.63096618652344,45.68663787841797,60.55290985107422,40.87002944946289
15,0.3,0,1,1,1,0.0,47.37940979003906,37.23903274536133,25.005739212036133
16,0.32,0,1,1,1,0.0,37.60986328125,22.573989868164062,22.873693466186523
17,0.34,0,1,1,1,0.0,29.80672836303711,13.808419227600098,24.83233070373535
18,0.36,1,1,1,0,68.06362915039062,16.556577682495117,7.6546478271484375,0.0
19,0.38,1,0,0,0,36.06562042236328,0.0,0.0,0.0
20,0.4,1,0,0,0,32.67900466918945,0.0,0.0,0.0
21,0.42,1,1,0,0,24.444843292236328,29.683198928833008,0.0,0.0
22,0.44,1,1,0,0,26.025156021118164,23.429683685302734,0.0,0.0
23,0.46,1,1,0,0,32.06460189819336,18.620325088500977,0.0,0.0
24,0.48,1,1,0,0,39.84255599975586,18.06913185119629,0.0,0.0
25,0.5,1,1,0,0,45.39851379394531,18.025691986083984,0.0,0.0
26,0.52,1,1,0,0,47.949405670166016,18.708576202392578,0.0,0.0
27,0.54,1,1,0,0,46.4495849609375,21.229164123535156,0.0,0.0
28,0.56,1,1,0,0,41.905967712402344,26.368919372558594,0.0,0.0
