Step,vx (m/s),vy (m/s),vz (m/s),speed_xy (m/s)
0,-0.08202671259641647,-0.12303076684474945,-0.4336772859096527,0.14786801942875347
1,0.014079222455620766,-0.2262747883796692,-0.37356218695640564,0.22671238246116804
2,0.12053737044334412,-0.26936075091362,0.0684785470366478,0.29510078245600296
3,0.10774850845336914,-0.1291024386882782,-0.18246714770793915,0.16815820155195046
4,0.35064733028411865,-0.057807400822639465,-0.23504997789859772,0.35538042408839726
5,0.5994905829429626,0.006738927215337753,-0.1859707087278366,0.5995284581880219
6,0.6804361343383789,-0.02109600603580475,-0.07735904306173325,0.68076308241856
7,0.7632279992103577,0.0265670008957386,-0.14778192341327667,0.7636902410763411
8,0.7611175775527954,0.020344063639640808,-0.12989933788776398,0.7613894192758456
9,0.8359160423278809,0.01845838502049446,-0.09599070996046066,0.8361198130642954
10,0.8210831880569458,-0.009020864963531494,-0.0638657659292221,0.8211327406177689
11,0.837688148021698,0.16550806164741516,0.142745703458786,0.8538819308348824
12,0.9666941165924072,0.2221902459859848,0.40049678087234497,0.9919002069087832
13,0.9817654490470886,0.01719648763537407,0.13224495947360992,0.9819160433202144
14,0.7554380893707275,0.06239566206932068,0.058473892509937286,0.7580105048857596
15,0.8884018063545227,0.09634938836097717,0.0912705808877945,0.8936111985486268
16,0.856173574924469,0.06921640038490295,0.2654842138290405,0.8589668797347128
17,0.9581936597824097,0.13828086853027344,0.10808256268501282,0.968120182750414
18,1.016055941581726,0.20344126224517822,-0.010244389995932579,1.0362229603745707
19,0.9591909050941467,0.19237349927425385,-0.11710696667432785,0.978291753843581
20,0.9485623836517334,0.1670987606048584,-0.2007412612438202,0.963167997534562
21,0.9578033685684204,0.16421011090278625,-0.25478363037109375,0.9717778827302661
22,0.8678819537162781,0.09115932881832123,0.008599869906902313,0.8726563520750826
23,0.963965117931366,0.16073784232139587,-0.011170517653226852,0.9772744765635549
24,0.8882957696914673,0.12513430416584015,0.025141064077615738,0.897066312226039
25,0.8711858987808228,0.21656863391399384,0.260906457901001,0.8977008652273448
26,0.8504487872123718,0.16728201508522034,0.20195350050926208,0.8667447214964542
