stiffness,tip_point_dy
500,0.14422878596140434
1000,0.040090479584120736
2000,0.03464350643515697
3000,0.032860596684232246
4000,0.03195593798982753
5000,0.031415351905999846
6000,0.031061559024493042
7000,0.030816707111371494
8000,0.030641101118903856
9000,0.030512312364250033
10000,0.03041667616431669
11000,0.03034537222525876
12000,0.03029244098913099
13000,0.030253703891806278
14000,0.03022614015985239
15000,0.030207509320205987
