lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,tip_dx,tip_dy,tip_dz,tip_disp_norm
100,100,100,0.17406104451232424,1.1086835460612033e-18,0.4836912926119859,0.5140569168539366
100,100,117,0.1746221577013033,3.745722717617561e-19,0.48140251553721236,0.5120949911157253
100,100,137,0.17527160636159217,-5.445820606490741e-19,0.47912721866076013,0.5101794073246869
100,100,161,0.17599367111501277,-1.1310300682851366e-19,0.4769159722640591,0.5083528468230625
100,100,188,0.1767141539005373,2.6696440813449623e-20,0.4749946408030943,0.5068015400336144
100,100,221,0.17746776792946253,-2.1015540365856006e-19,0.47328804075677616,0.505466495603075
100,100,259,0.17819680896691284,-2.9185812390162144e-19,0.4719838771270015,0.5045026095015038
100,100,303,0.12096808502268448,-6.991903103788756e-19,0.4669766383459714,0.4823903588951168
100,100,356,0.12084912914563387,3.1023599389241e-20,0.46649964728868454,0.4818987787240441
100,100,417,0.12101397355393217,-2.0200263954667363e-19,0.46804354266098813,0.48343473150153377
100,100,489,0.12115121877096802,1.1646263726934787e-18,0.46968381416418586,0.48505721631319787
100,100,573,0.12123243142505598,-2.21791152483478e-18,0.47122531713247584,0.48657024357828677
100,100,672,0.12119542221681508,3.608905310984202e-18,0.47272923977854603,0.488017688724409
100,100,788,0.12040499598384913,-4.022938552137887e-18,0.4734762667132374,0.4885459427715836
100,100,923,0.11930321983846331,4.1880218693954594e-18,0.4739351788059032,0.4887205868117366
100,100,1082,0.11844893293785139,4.026591223911123e-18,0.47469576883123454,0.48925067466523997
100,100,1268,0.11786538759090208,3.9154332852540424e-18,0.4756874615822768,0.4900722504881741
100,100,1487,0.11762392596940383,-4.8303383901498564e-18,0.4767933919060685,0.4910879010174753
100,100,1743,0.11814550487763527,-3.898550618653526e-18,0.4774332383850551,0.4918341767685855
100,100,2043,0.11962853313919142,-3.968502174094571e-18,0.4773579520480178,0.49211949801294425
100,100,2395,0.12140156621618854,-4.040030303937372e-18,0.47757201241330216,0.49276096367329547
100,100,2807,0.12347046872797393,-3.959044204813997e-18,0.4780364658666842,0.4937244366508661
100,100,3290,0.12576129972123523,-3.905985888841253e-18,0.47866727152983274,0.4949123774380562
100,100,3856,0.1280896109348737,-3.9241803303965044e-18,0.479342404226032,0.4961613537133258
100,100,4520,0.12037479550094358,-5.1101391773482055e-18,0.4092454883958402,0.4265817168658823
100,100,5298,0.12080721332901098,5.317642207294265e-18,0.3991095823342301,0.4169926156460385
100,100,6210,0.12159622408040488,4.693884474847085e-18,0.394582641990452,0.41289357354017664
100,100,7278,0.11970675215745318,-4.062258033772465e-18,0.39270248068366115,0.410542257078595
100,100,8531,0.11769332741443575,-3.3067779239409573e-18,0.3909292952086547,0.40826147647092187
100,100,10000,0.11574311875899608,-4.3060936238283905e-18,0.3892209725592703,0.4060658013426436
100,117,100,0.16998594817227194,-8.458438467110209e-19,0.46013590592043224,0.49053060505257284
100,117,117,0.17062902331466046,-7.748145286769529e-19,0.4584266768670593,0.48915159374235934
100,117,137,0.17136670246157232,4.957489216828293e-19,0.45683372604363726,0.48791761595936056
100,117,161,0.17218276797493118,2.883541152933472e-19,0.4554009671309852,0.486864402530464
100,117,188,0.1730016702688491,1.1084189069416194e-18,0.45427791957876723,0.4861049332527129
100,117,221,0.12024996633679194,-3.921699831336633e-19,0.45615492211581127,0.47173866427767125
100,117,259,0.1174785810890766,4.3257952450210514e-19,0.4466859097874722,0.46187608621508486
100,117,303,0.11780777885020828,2.0148843558137437e-19,0.4480826579311826,0.4633106313223266
100,117,356,0.11818150530045013,-4.4211896785423455e-19,0.4499874769685728,0.4652478883601968
100,117,417,0.11852794269569042,-8.86199444714077e-19,0.45190780289251353,0.46719325285668645
100,117,489,0.11884688939066967,3.205644171558578e-18,0.453848158363097,0.4691510779774601
100,117,573,0.11908857372949043,-3.4385471618409973e-18,0.4557966336322742,0.47109729316080545
100,117,672,0.11915001815721804,-6.12519855071667e-18,0.4575708390850674,0.4728295671887261
100,117,788,0.11872586488268443,-4.613263147088781e-18,0.45747000966798324,0.4726252645995198
100,117,923,0.11946774363799649,-5.7874416809381696e-18,0.45614203132482545,0.4715274058960858
100,117,1082,0.12034485919831989,5.921704750617707e-18,0.45520505312802045,0.47084448125548567
100,117,1268,0.12135474225954894,7.343550830976754e-18,0.45463131756909564,0.4705492624407071
100,117,1487,0.1225183335884488,5.336592446655536e-18,0.454386761516211,0.47061456746097485
100,117,1743,0.12385921625642898,5.3758148516247785e-18,0.4544506809188148,0.4710270977759467
100,117,2043,0.12543607127466563,-4.0291262522452224e-18,0.45481403185571984,0.4717944590069692
100,117,2395,0.1273380142510532,-3.938235025270896e-18,0.45548342279459586,0.47294832520485997
100,117,2807,0.12965941042738222,-3.9761811362029695e-18,0.45645996180591447,0.4745179232065247
100,117,3290,0.13241958207741222,3.985507830872553e-18,0.45768428441069553,0.47645550675177106
100,117,3856,0.12713705835321032,-9.381939244840932e-18,0.3937694202579398,0.41378519540575837
100,117,4520,0.12755609982711366,6.036053469013491e-18,0.3835021139679045,0.4041589167901114
100,117,5298,0.12862918534848494,-5.001581555685336e-18,0.37824573636688236,0.39951884111158004
100,117,6210,0.128796293937292,4.75355387960848e-18,0.3752137027065387,0.39670367786388383
100,117,7278,0.12723397919689555,-3.972814875359436e-18,0.3734938484922353,0.394570830553675
100,117,8531,0.12557074867698184,4.920626641409519e-18,0.3718586374695973,0.3924880369948148
100,117,10000,0.12395479300865316,3.3242151791708092e-18,0.37028831506194815,0.39048460530632273
100,137,100,0.16573781306729318,-6.6303862757764545e-19,0.43657041137903563,0.4669718907728702
100,137,117,0.16642258093238735,-7.588187491970391e-19,0.43531772297288396,0.46604505724070666
100,137,137,0.16724325842718343,1.0160544013259693e-19,0.43436007339028826,0.46544492783245395
100,137,161,0.11207502380651874,5.605949427109384e-19,0.42339633373819385,0.43797861407170985
100,137,188,0.1124926256764899,-9.219769333830874e-19,0.4242627791436502,0.4389231101209921
100,137,221,0.11298976520462897,1.2720412741195124e-19,0.4257709607205971,0.44050834048169557
100,137,259,0.11350832947885146,2.452565288531693e-18,0.42750871147814806,0.44232096858591946
100,137,303,0.11403726418549315,3.6069315416501444e-19,0.429338498550838,0.4442252176101666
100,137,356,0.11459749079907194,-3.0078608480209706e-18,0.4312238382505541,0.44619119620739206
100,137,417,0.11520145862256331,3.1856442956810882e-18,0.43311663074302015,0.4481756261723208
100,137,489,0.1170351030509743,3.426419085631214e-18,0.4328317603443227,0.4483754544005697
100,137,573,0.11902430407799937,6.305275162982974e-18,0.43213202338148243,0.44822412986476545
100,137,672,0.12003422190398172,-1.7073028422114475e-17,0.4304791297440726,0.4469009907947267
100,137,788,0.12094159799978445,-1.6659467585083942e-17,0.42913410547387243,0.4458508165380009
100,137,923,0.12190141010127227,8.222608836825179e-18,0.4283231425501419,0.44533208758038956
100,137,1082,0.1229238590318203,-1.0840964584814612e-17,0.4280092357204901,0.44531133039853465
100,137,1268,0.1240088319251137,-1.2271162622513946e-17,0.42814105551815934,0.4457386608940655
100,137,1487,0.12518113309941842,1.4769799660941518e-17,0.42864284324428614,0.4465478732998288
100,137,1743,0.12646563635264912,1.1079449036729027e-17,0.42943487606609,0.44766937572272975
100,137,2043,0.1279246036113656,1.0092909241718467e-17,0.43047047418352913,0.44907631128007347
100,137,2395,0.1296687157016449,4.777320664984728e-18,0.431756363589845,0.4508076456006935
100,137,2807,0.13189113579434691,-7.612918005680191e-18,0.43336073777893624,0.45298653484339557
100,137,3290,0.13071871099451027,-6.261202761566051e-18,0.37415272207872285,0.3963302169189025
100,137,3856,0.13164442346519603,-9.661963377778309e-18,0.3668427478215122,0.38974845202864045
100,137,4520,0.1327858630145234,-5.265732670727694e-18,0.36189199595986393,0.385483984305867
100,137,5298,0.13396804451757494,-4.9359929561315484e-18,0.3582973755152029,0.38252378521203784
100,137,6210,0.13355433497451094,4.408161821445007e-18,0.35628133068348444,0.38049066609324106
100,137,7278,0.13234380848471708,-4.250864192458986e-18,0.3547416963832739,0.3786245565162439
100,137,8531,0.1310534136811401,3.650999453992007e-18,0.35326998345528327,0.37679527391937406
100,137,10000,0.12979090468731952,4.540709465925893e-18,0.35186201985751064,0.37503674481010535
100,161,100,0.10556377842235562,6.383877237015925e-20,0.39902421391332654,0.41275178328379436
100,161,117,0.10602252444359142,7.816660718537462e-19,0.39990325713962127,0.4137189755864118
100,161,137,0.10649481709713648,2.496298515651284e-19,0.4009928607272001,0.41489326389173425
100,161,161,0.10700908380260667,-4.512852398330059e-19,0.40228124470670334,0.4162705176433323
100,161,188,0.10754687638974672,1.4886854277701096e-18,0.40361919994579665,0.4177017945688963
100,161,221,0.10816357632437847,-2.576021076985843e-18,0.40507997255225114,0.41927215911173044
100,161,259,0.10883560089629851,3.4439862669638634e-18,0.40658840397191987,0.42090297963650897
100,161,303,0.11052487955078844,-3.436326054947333e-18,0.40631654072388024,0.4210806101752216
100,161,356,0.112873773714581,3.8146076093742155e-18,0.4048757634632386,0.42031520628275015
100,161,417,0.11511467939168724,3.790001302608916e-18,0.40352373094343996,0.41962220013479345
100,161,489,0.11720986266250188,4.1622654618736106e-17,0.40210493002443404,0.4188394998747343
100,161,573,0.11838898620962036,-3.1260333685960417e-17,0.39947382768580675,0.4166476821748698
100,161,672,0.11958842290443804,6.356423249171526e-18,0.3971620207631109,0.41477591736913616
100,161,788,0.12079243618265328,-6.194776161731496e-18,0.3951910922604521,0.41323941249710144
100,161,923,0.12197912181978908,6.111305810059953e-18,0.3935814687884036,0.4120500925052245
100,161,1082,0.12314107145720168,5.774627199585239e-18,0.3923565350959063,0.41122666999125046
100,161,1268,0.12423632777896011,-6.176319317602442e-18,0.39168499527825373,0.41091580727215504
100,161,1487,0.12520944366343356,6.061693147355034e-18,0.3922197041884964,0.4117204162246732
100,161,1743,0.12599158098878321,-5.989111575152063e-18,0.3957203361109307,0.4152932251937191
100,161,2043,0.1290095517950726,-5.853613119226458e-18,0.36784044637116997,0.3898077198323644
100,161,2395,0.13048798436676667,8.43284085834492e-18,0.3600559349162744,0.38297178790680386
100,161,2807,0.131778211989628,-5.315023209270683e-18,0.35404903723324466,0.3777780008430491
100,161,3290,0.1330562052266703,6.2942983965342444e-18,0.349137455695381,0.37363206061413673
