lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,total_twist_deg,twist_0_1_deg,twist_1_2_deg
500,500,500,104.81502460125657,51.7351851480498,53.07983945320676
500,500,562,102.35019345469027,51.045304809275265,51.304888645415005
500,500,632,99.73947508375655,50.373743023889816,49.36573205986674
500,500,711,97.10816851926246,49.702102217042956,47.4060663022195
500,500,799,94.36883149531722,48.52616330191008,45.84266819340714
500,500,899,92.62862369188731,53.317293107822906,56.3113305840644
500,500,1011,90.88142572327125,53.2160966115432,55.665329111728056
500,500,1136,89.37656698917135,46.149029712278704,43.22753727689266
500,500,1278,81.02873602332473,42.23377935260524,38.794956670719486
500,500,1437,77.64868833171387,39.32065970246941,38.32802862924445
500,500,1616,73.97615889050681,37.1467451118143,36.829413778692505
500,500,1817,61.871864836370186,30.32028461387489,31.551580222495293
500,500,2043,51.987067078659244,25.550139534913527,26.436927543745714
500,500,2297,44.551983710422455,21.917032583053267,22.634951127369185
500,500,2583,38.610317184958724,18.98594550380301,19.624371681155715
500,500,2904,33.711497237035815,16.55486389640487,17.156633340630947
500,500,3265,29.576904188695995,14.495464301056487,15.081439887639508
500,500,3672,26.03192618629289,12.7253116735207,13.306614512772189
500,500,4129,22.977525394192387,11.19722092497548,11.780304469216906
500,500,4642,20.328507101564554,9.869949819038217,10.458557282526337
500,500,5220,18.01211127210632,8.707874677327041,9.304236594779278
500,500,5870,15.984251939753104,7.689426319422366,8.29482562033074
500,500,6600,14.206769398443871,6.795829471679268,7.410939926764603
500,500,7421,12.643558800937496,6.009219817218118,6.634338983719379
500,500,8345,11.266151875844402,5.315488412576619,5.950663463267784
500,500,9383,10.05346186394137,4.704187554763349,5.349274309178022
500,500,10551,8.983149131356676,4.164197469910375,4.818951661446301
500,500,11864,8.038889479038165,3.6873997582540365,4.351489720784129
500,500,13340,7.2053747528992345,3.2661651819241064,3.939209570975127
500,500,15000,6.468973297382032,2.8936923756707134,3.5752809217113186
500,562,500,102.48237528128998,50.84030431130539,51.64207096998459
500,562,562,100.19700407165578,50.26104839349993,49.935955678155864
500,562,632,97.870610557421,49.66464468677204,48.20596587064895
500,562,711,95.50420573539057,49.06434908273648,46.439856652654086
500,562,799,93.00996093325959,47.92467564088661,45.08528529237298
500,562,899,90.46950332930402,46.73842142473795,43.73108190456606
500,562,1011,90.34217396288543,46.08860829347834,44.25356566940708
500,562,1136,88.57405486047712,46.21505688377487,42.35899797670225
500,562,1278,79.84685639628125,41.3282671633308,38.518589232950454
500,562,1437,77.06132893035318,38.901560191992345,38.159768738360846
500,562,1616,73.37352005560251,36.660817449935564,36.71270260566695
500,562,1817,61.10537819867081,30.088879301426346,31.016498897244468
500,562,2043,51.52478776728164,25.438295847402415,26.08649191987923
500,562,2297,44.23978491562001,21.856931829830547,22.382853085789467
500,562,2583,38.37666708817479,18.952760794897486,19.423906293277298
500,562,2904,33.52154509336707,16.537470070508746,16.984075022858317
500,562,3265,29.412600276668734,14.487881976334108,14.924718300334629
500,562,3672,25.882955639583432,12.724031390714428,13.158924248869004
500,562,4129,22.83721719688417,11.19992738031694,11.637289816567229
500,562,4642,20.192599109043453,9.875105527598317,10.317493581445136
500,562,5220,17.877780217338163,8.714443267734548,9.163336949603613
500,562,5870,15.849601351100624,7.696688889000888,8.152912462099733
500,562,6600,14.070541363320185,6.803291254176213,7.267250109143972
500,562,7421,12.504938007538211,6.016546235808515,6.488391771729697
500,562,8345,11.12463335688822,5.322459609448374,5.802173747439846
500,562,9383,9.90877028405637,4.710668218468085,5.1981020655882855
500,562,10551,8.8351652247861,4.170112517108111,4.665052707677991
500,562,11864,7.887610949021521,3.6927182271465555,4.194892721874965
500,562,13340,7.0508780204005355,3.270886863716934,3.779991156683601
500,562,15000,6.311388161535014,2.8978377622112506,3.4135503993237637
500,632,500,100.26567705073924,50.0125850544643,50.25309199627494
500,632,562,98.22892737104257,49.4993437882603,48.729583582782276
500,632,632,96.13904775758739,48.96784690746833,47.171200850119064
500,632,711,93.99824548118521,48.42942734521274,45.568818135972485
500,632,799,91.71744906638989,47.31657118593682,44.40087788045306
500,632,899,90.24758180432727,46.62466528041716,43.622916523910106
500,632,1011,89.69737127304572,46.399280513461655,43.29809075958406
500,632,1136,88.05193460707,46.17967442158954,41.872260185480464
500,632,1278,78.67943067128567,40.39790862921788,38.28152204206779
500,632,1437,76.46292177399887,38.47932365567812,37.98359811832075
500,632,1616,72.67574044664592,36.15658854223397,36.51915190441195
500,632,1817,60.39631512568961,29.856499374299766,30.539815751389845
500,632,2043,51.11819351328251,25.32093058527712,25.79726292800539
500,632,2297,43.9722796794815,21.79183479138005,22.18044488810145
500,632,2583,38.18247491008887,18.916096484072035,19.266378426016832
500,632,2904,33.369066793801956,16.517674054391232,16.851392739410723
500,632,3265,29.28505955540939,14.478681192364721,14.80637836304467
500,632,3672,25.770540202325858,12.721653492975154,13.048886709350702
500,632,4129,22.73372416154061,11.20193381497086,11.531790346569753
500,632,4642,20.093971532548576,9.879875895523943,10.214095637024633
