lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,total_twist_deg,twist_0_1_deg,twist_1_2_deg
300,300,300,138.40709262326627,62.62223446388856,75.78485815937772
300,300,338,136.33805961378854,61.67056332919564,74.6674962845929
300,300,382,133.91858212699913,60.611566502911145,73.30701562408798
300,300,431,131.08284956803416,59.486748921299764,71.59610064673441
300,300,486,126.56898557003109,58.29042336052874,68.27856220950235
300,300,549,121.42567263743325,57.01349676929696,64.41217586813629
300,300,619,116.63877061887304,55.76978640977264,60.8689842091004
300,300,699,111.88523058193806,54.329514235693615,57.55571634624443
300,300,789,118.1378200629075,56.856759232529605,61.28106083037789
300,300,890,115.92584349435417,55.98173362868151,59.94410986567265
300,300,1005,113.31805052085072,54.96029804177902,58.357752479071685
300,300,1134,110.29768954083957,53.787157146918425,56.51053239392115
300,300,1280,107.83164660948145,52.877907702770734,54.95373890671071
300,300,1444,82.7152245129322,44.08907336399238,38.62615114893981
300,300,1630,69.71367289690737,31.833147088984234,37.880525807923135
300,300,1839,66.41871955102967,27.2164111670799,39.20230838394977
300,300,2076,61.8052867650665,23.523093935090976,38.282192829975514
300,300,2343,58.01305458054402,21.332610920545623,36.680443659998396
300,300,2644,53.42564024929228,19.844856297747892,33.58078395154439
300,300,2984,45.88833606480553,17.351435204722495,28.536900860083037
300,300,3368,36.062090989350445,14.457410283725087,21.60468070562536
300,300,3800,29.861250880677556,12.572800325631015,17.288450555046538
300,300,4289,25.013869976591682,10.959647907961294,14.05422206863039
300,300,4840,21.103660220155906,9.563338116146891,11.540322104009014
300,300,5463,17.96691955558101,8.354788577889968,9.612130977691043
300,300,6165,15.429461228877884,7.31258268405809,8.116878544819793
300,300,6957,13.330701719533259,6.409697123754279,6.921004595778979
300,300,7851,11.563443180555172,5.624753488316229,5.938689692238943
300,300,8861,10.058353785363431,4.94035205784454,5.118001727518893
300,300,10000,8.776758150711826,4.344816530936726,4.431941619775102
300,338,300,133.22482806583724,61.15950610585407,72.06532195998317
300,338,338,131.25719020100297,60.255492098049075,71.00169810295391
300,338,382,128.93625447003257,59.26424324257374,69.67201122745884
300,338,431,125.70457704537712,58.208535644340536,67.4960414010366
300,338,486,121.60252349306536,57.07880857082593,64.52371492223944
300,338,549,117.42689686357166,55.919043246338056,61.50785361723358
300,338,619,113.46046513296513,54.733595077650094,58.726870055315025
300,338,699,108.95863339667757,53.38240344513219,55.576229951545386
300,338,789,117.1124056611726,56.45656818720024,60.655837473972376
300,338,890,114.93197264512284,55.59116478165191,59.340807863470914
300,338,1005,112.35976787883897,54.580874547357546,57.77889333148142
300,338,1134,109.67338518368031,53.544767705964276,56.12861747771604
300,338,1280,107.40907954049078,52.70602202410417,54.7030575163866
300,338,1444,81.78448065022107,43.060351191235334,38.72412945898573
300,338,1630,72.76396987672395,36.971238684428535,35.7927311922954
300,338,1839,63.598212801142935,30.73532174476913,32.862891056373805
300,338,2076,56.809713035413026,25.621058399455073,31.188654635957953
300,338,2343,51.348475308914665,21.185015823381647,30.16345948553302
300,338,2644,46.63803832432086,18.048973068328444,28.589065255992416
300,338,2984,43.062136570209134,15.60277414977209,27.45936242043705
300,338,3368,40.49255485404093,13.779598192477957,26.712956661562973
300,338,3800,38.420762468355385,12.210642823417178,26.210119644938203
300,338,4289,36.246415539090506,10.846526947104289,25.399888591986215
300,338,4840,32.912418153525905,9.535568583301876,23.37684957022403
300,338,5463,28.30599967128711,8.51395742376258,19.79204224752453
300,338,6165,24.706631582126615,7.584466371357679,17.122165210768937
300,338,6957,21.85318535672108,6.743129115224874,15.110056241496206
300,338,7851,19.5771229843436,5.9937747201065745,13.583348264237026
300,338,8861,17.61729603459904,5.333569560409862,12.283726474189178
300,338,10000,15.911421745776995,4.752264926512902,11.15915681926409
300,382,300,128.45459397959496,59.67501496809382,68.77957901150114
300,382,338,126.59527819525498,58.84050802914635,67.75477016610864
300,382,382,124.2938057275379,57.92362954312092,66.37017618441698
300,382,431,120.93821099184575,56.916339648892645,64.0218713429531
300,382,486,117.4562639854808,55.86492008838777,61.59134389709305
300,382,549,114.00115254006381,54.808171840212154,59.19298069985167
300,382,619,110.39516182193958,53.67555876662449,56.71960305531508
300,382,699,105.91139517993057,52.56268659733293,53.348708582597645
300,382,789,115.98158603869341,55.99891658627785,59.982669452415564
300,382,890,113.8303722959912,55.145537293548394,58.6848350024428
300,382,1005,111.29432065820981,54.148743064473415,57.1455775937364
300,382,1134,108.99340495662346,53.270306558695914,55.723098397927544
300,382,1280,107.19042516086836,52.567590867881776,54.622834292986575
300,382,1444,80.97201478234712,42.35344389100093,38.61857089134619
300,382,1630,73.2713130775575,37.71805172886025,35.55326134869724
300,382,1839,62.089604534751636,30.34798871392491,31.741615820826723
300,382,2076,54.1549917717078,25.223380760665123,28.931611011042673
300,382,2343,48.44847729578168,21.139306773021765,27.309170522759914
300,382,2644,43.63418351691626,18.221048816867945,25.41313470004832
300,382,2984,39.718760062758776,15.849180132332005,23.86957993042677
300,382,3368,34.63800607960582,13.846768839659095,20.791237239946724
300,382,3800,28.458542898207757,12.136381341909898,16.32216155629786
300,382,4289,24.681421413279296,10.638036077937011,14.043385335342286
300,382,4840,21.73965789956807,9.336765987751082,12.402891911816988
300,382,5463,19.28745542228311,8.201740339003441,11.085715083279668
300,382,6165,17.21074795039479,7.211105292973433,9.999642657421358
300,382,6957,15.425239092899465,6.346544715637936,9.07869437726153
300,382,7851,13.88704288774229,5.589696911636618,8.297345976105673
300,382,8861,12.565208429729573,4.924824347088307,7.640384082641268
